"JournalTitle","MedAbbr","ISSN (Print)","ISSN (Online)","NlmId"
"Newsletter. American Academy of Implant Dentistry","Newsl Am Acad Implant Dent","","","0256711"
"Newsletter. Wisconsin League for Nursing","Newsl Wis League Nurs","","","0242753"
"Niedersachsisches Zahnarzteblatt","Niedersachs Zahnarztebl","0173-6868","","7907434"
"Nicaragua Odontologica","Nicar Odontol","","","9875613"
"The Nigerian nurse","Niger Nurse","0331-4448","","0225531"
"Nihon Igaku Hoshasen Gakkai zasshi. Nippon acta radiologica","Nihon Igaku Hoshasen Gakkai Zasshi","0048-0428","1347-7951","0413544"
"New Jersey League for Nursing news","N J League Nurs News","0047-9780","","7507308"
"New Jersey nurse","N J Nurse","0196-4895","","7907163"
"Njsna Newsletter","NJSNA Newsl","","","9875616"
"Perspectives","Perspectives (Montclair)","0191-6556","","7901355"
"New Mexico dental journal","N M Dent J","0028-6176","","7512900"
"New Mexico nurse","N M Nurse","0028-6273","","7806629"
"Den Norske tannlaegeforenings tidende","Nor Tannlaegeforen Tid","0029-2303","","0414136"
"Nordisk hygienisk tidskrift","Nord Hyg Tidskr","0029-1374","","7511514"
"Nordisk hygienisk tidskrift. Supplementum","Nord Hyg Tidskr Suppl","0300-9122","","0246623"
"Nordisk medicin","Nord Med","0029-1420","","0401001"
"Nordisk psykiatrisk tidsskrift. Nordic journal of psychiatry","Nord Psykiatr Tidsskr","0029-1455","","0401002"
"Nordisk veterinaermedicin","Nord Vet Med","0029-1579","","0203744"
"Normale und pathologische Anatomie","Norm Pathol Anat (Stuttg)","0303-2418","","0246434"
"Northwest dentistry","Northwest Dent","0029-2915","","0401073"
"Northwest medicine","Northwest Med","0029-3385","","0407175"
"Dental research and graduate study","Dent Res Grad Study","","","0376544"
"La Nouvelle presse medicale","Nouv Presse Med","0301-1518","","0312552"
"Nouvelle revue francaise d'hematologie","Nouv Rev Fr Hematol (1978)","","","7909092"
"Nouvelle revue francaise d'hematologie; blood cells","Nouv Rev Fr Hematol Blood Cells","","","7701899"
"Novosti meditsinskogo priborostroeniia","Nov Med Priborostr","0300-9106","","0170720"
"Novosti meditsinskoi tekhniki","Nov Med Tekh","0321-2165","","7706624"
"Nowotwory","Nowotwory","0029-540X","","0401003"
"The Nova Scotia medical bulletin","N S Med Bull","0029-5094","","0404445"
"Bulletin - National Tuberculosis Association","Bull Natl Tuberc Assoc","0893-1119","","7505328"
"Bulletin - National Tuberculosis and Respiratory Disease Association","Bull Natl Tuberc Respir Dis Assoc","0028-0313","","7505327"
"Nuclear-Medizin","Nucl Med (Stuttg)","","","7607194"
"Nucleic acids research","Nucleic Acids Res","0305-1048","1362-4962","0411011"
"Nuklearmedizin. Nuclear medicine","Nuklearmedizin","0029-5566","2567-6407","7609387"
"Nucleic acids symposium series","Nucleic Acids Symp Ser","0261-3166","","8007206"
"Nuntius radiologicus","Nunt Radiol","0029-6120","","0401005"
"Nurse Educators Opportunities And Innovations","Nurse Educ Oppor Innov","","","9880100"
"Nuovi annali d'igiene e microbiologia","Nuovi Ann Ig Microbiol","0029-6287","","0404446"
"Nursing care","Nurs Care","0091-2379","","0366141"
"The Nursing clinics of North America","Nurs Clin North Am","0029-6465","1558-1357","0042033"
"Nursing education monographs","Nurs Educ Monogr","0078-2831","","19230370R"
"Nutrition and cancer","Nutr Cancer","0163-5581","1532-7914","7905040"
"Nursing forum","Nurs Forum","0029-6473","1744-6198","0401006"
"Nursing homes","Nurs Homes","0029-649X","","19230390R"
"The Nursing journal of India","Nurs J India","0029-6503","","0376403"
"Nursing mirror","Nurs Mirror","0029-6511","","7708429"
"Nursing forum","Nurs Forum (Auckl)","0110-0890","","7508031"
"The Nursing journal of Singapore","Nurs J Singapore","0067-5814","","0411330"
"Nursing Montreal","Nurs Montreal","0710-6157","","7905824"
"Nursing news","Nurs News","0029-6538","","0061156"
"Nursing news","Nurs News (Meriden)","0029-652X","","16410070R"
"Nursing outlook","Nurs Outlook","0029-6554","1528-3968","0401075"
"Nursing papers. Perspectives en nursing","Nurs Pap","0318-1006","","7609832"
"Nursing research","Nurs Res","0029-6562","1538-9847","0376404"
"Nursing Research Conference","Nurs Res Conf","","","0100153"
"Nursing research report","Nurs Res Rep","0044-7781","","0101770"
"Nursing science","Nurs Sci","","","2984807R"
"Nursing times","Nurs Times","0954-7762","","0423236"
"ha-Ahot be-Yisrael","Ahot Beyisrael","0048-1165","","2985175R"
"The Nurse practitioner","Nurse Pract","0361-1817","1538-8662","7603663"
"Nursing","Nursing (Brux)","0029-6457","","19230340R"
"Nursing","Nursing","0360-4039","1538-8689","7600137"
"Nutrition abstracts and reviews","Nutr Abstr Rev","0029-6619","","7803155"
"Nursing","Nursing (Lond)","0142-0372","","8009575"
"NursingLife","Nurs Life","0279-3091","","8208357"
"Neuroscience and biobehavioral reviews","Neurosci Biobehav Rev","0149-7634","1873-7528","7806090"
"Neuroscience research. Supplement : the official journal of the Japan Neuroscience Society","Neurosci Res Suppl","0921-8696","1879-0917","8508422"
"New era nursing image international : NENI","New Era Nurs Image Int","0794-4373","","8612860"
"The National underwriter. Life & health insurance edition","Natl Underwrit Life Health","0028-033X","","7909783"
"Neurochemical pathology","Neurochem Pathol","0734-600X","","8310818"
"Nursing administration quarterly","Nurs Adm Q","0363-9568","1550-5103","7703976"
"Nutritio et dieta; European review of nutrition and dietetics","Nutr Dieta Eur Rev Nutr Diet","0550-4031","","0250415"
"Neurotoxicology","Neurotoxicology","0161-813X","1872-9711","7905589"
"Neuroscience research","Neurosci Res","0168-0102","1872-8111","8500749"
"NIHAE bulletin","NIHAE Bull","0378-6196","","7909392"
"Nederlands tijdschrift voor gerontologie","Ned Tijdschr Gerontol","0378-1186","","0246274"
"Nutrition and metabolism","Nutr Metab","0029-6678","","0330472"
"Nurse educator","Nurse Educ","0363-3624","1538-9855","7701902"
"Nurses Lamp","Nurses Lamp","0885-5854","","9875104"
"National hospital and health care","Natl Hosp Health Care","0312-794X","","7513650"
"Nutrition reviews","Nutr Rev","0029-6643","1753-4887","0376405"
"The New York journal of dentistry","N Y J Dent","0028-7296","","0401062"
"Nouvelles - Comite international catholique des infirmieres et assistantes medico-sociales. News - International Committee of Catholic Nurses and Medico-Social Workers","Nouv Com Int Cathol Infirm Assist Med Soc","0926-3209","","7701468"
"The New York state dental journal","N Y State Dent J","0028-7571","","0414634"
"Newsletter - Springfield Dental Society","Newsl Springfield Dent Soc","","","9877609"
"Nuclear medicine communications","Nucl Med Commun","0143-3636","1473-5628","8201017"
"New York state journal of medicine","N Y State J Med","0028-7628","","0401064"
"Nursing Quebec","Nurs Que","0381-6419","","7908787"
"New York state nurse","N Y State Nurse","","","0247735"
"Nursing leadership","Nurs Leadersh","0164-7865","","7905038"
"Nursing science quarterly","Nurs Sci Q","0894-3184","1552-7409","8805022"
"Nutrition and health","Nutr Health","0260-1060","","8306569"
"New York University journal of dentistry","N Y Univ J Dent","0028-7865","","19110650R"
"Nursing focus","Nurs Focus","0144-4069","","8000188"
"NYSSNTA journal","NYSSNTA J","0145-3300","","7612820"
"National Institutes of Health consensus development conference summaries","Natl Inst Health Consens Dev Conf Summ","0195-6213","","7905296"
"The New Zealand dental journal","N Z Dent J","0028-8047","","0401065"
"The New Zealand medical journal","N Z Med J","0028-8446","1175-8716","0401067"
"New Zealand hospital","N Z Hosp","0111-4042","","7613464"
"The New Zealand nursing journal. Kai tiaki","N Z Nurs J","0028-8535","","19110850R"
"Nursing management","Nurs Manage","0744-6314","1538-8670","8219243"
"Bulletin - N. Z. Society of Periodontology","Bull N Z Soc Periodontol","0028-8705","","7505323"
"New Zealand veterinary journal","N Z Vet J","0048-0169","1176-0710","0021406"
"Obstetrics and gynecology","Obstet Gynecol","0029-7844","1873-233X","0401101"
"Occasional newsletter (Lindsay Club)","Occas Newsl Lindsay Club","","","8803871"
"Obstetrics and gynecology annual","Obstet Gynecol Annu","0091-3332","","0322340"
"Obstetrical & gynecological survey","Obstet Gynecol Surv","0029-7828","1533-9866","0401007"
"Nursing journal","Nurs J (Manila)","","","7906917"
"Nursing careers","Nurs Careers","0273-7124","","8214544"
"Nursing educators microworld","Nurs Educ Microworld","0893-1356","","8812203"
"Occupational Health","Occup Health (Auckl)","","","9881881"
"Occupational health; a journal for occupational health nurses","Occup Health (Lond)","0029-7917","","0021263"
"Occupational health nursing","Occup Health Nurs","0029-7933","","0200443"
"The Occupational health nurse","Occup Health Nurse (Auckl)","","","0254561"
"Occupational health & safety (Waco, Tex.)","Occup Health Saf","0362-4064","","7610574"
"Acta Academiae Medicinae Wuhan = Wu-han i hsueh yuan hsueh pao","Acta Acad Med Wuhan","0253-3316","","8300028"
"Occupational health review","Occup Health Rev","0029-7941","","0401102"
"Odont","Odont","0105-189X","","7605677"
"Odontes","Odontes","0472-5069","","19320020R"
"Odontiatrike","Odontiatriki","0377-1970","","0437224"
"Rivista di odontoiatria degli Amici di Brugg","Riv Odontoiatr Amici Brugg","0393-4780","","8502436"
"Odontologia bonaerense","Ondontol Bonaer","0326-8454","","9317168"
"Odontoiatria pratica","Odontoiatr Prat","0390-6000","","7610578"
"Odontoiatria; revista ibero-americana de medicina de la boca","Odontoiatr Rev Iberoam Med Boca","0029-8395","","19320110R"
"Odontologia","Odontol Mexico","","","9816310"
"Odontologia Atual","Odontol Atual","0473-7865","","9875642"
"Odontologia dinamica","Odontol Din","0078-334X","","0155161"
"Rivista di odontostomatologia e implantoprotesi","Riv Odontostomatol Implantoprotesi","","","8411976"
"Odontologia capixaba","Odontol Capixaba","","","19320170R"
"Odontological bulletin","Odontol Bull","0029-8433","","19320300R"
"Odontologia chilena","Odontol Chil","0029-8417","","0313241"
"Odontologiska foreningens tidskrift","Odontol Foren Tidskr","0029-8468","","0404450"
"Odontologia Jalisciense","Odontol Jalisc","","","9883848"
"Odontologia Peruana","Odontol Peru","","","9877854"
"Odontologisk revy","Odontol Revy","0029-8441","","0404451"
"Your Oklahoma Dental Association journal","Your Okla Dent Assoc J","0149-2594","","7706679"
"Arsbok. Odontologiska samfundet i Finland","Arsb Odontol Samf Finl","0078-3358","","19320330R"
"Odontologisk tidskrift","Odontol Tidskr","0472-514X","","0270517"
"Odontologia uruguaya","Odontol Urug","0029-8425","","0401103"
"El Odontologo","Odontologo","0472-5158","","7605087"
"Odontologia","Odontologia (Lima)","0471-0215","","2984091R"
"Shigaku = Odontology; journal of Nihon Dental College","Shigaku","0029-8484","","1275704"
"Odontoprotesi","Odontoprotesi","0029-8492","","19320390R"
"OHMS digest","OHMS Dig","","","9875494"
"Odontostomatologike proodos","Odontostomatol Proodos","0029-8506","","0401104"
"Das Offentliche Gesundheitswesen","Offentl Gesundheitswes","0029-8573","","0107170"
"Oftalmologicheskii zhurnal","Oftalmol Zh","0030-0675","2413-8746","0401105"
"Obstetrics and gynecology clinics of North America","Obstet Gynecol Clin North Am","0889-8545","1558-0474","8709551"
"The Ohio dental journal","Ohio Dent J","0030-087X","","0365664"
"Osterreichische Zahnprothetik","Osterr Zahnprothet","0250-4839","","7901350"
"Ohio nurses review","Ohio Nurses Rev","0030-0993","","19330290R"
"OH. Osteopathic hospitals","OH","0161-0007","","7800066"
"The Ohio State medical journal","Ohio State Med J","0030-1124","","0401013"
"Okajimas folia anatomica Japonica","Okajimas Folia Anat Jpn","0030-154X","1881-1736","0401014"
"The Oklahoma nurse","Okla Nurse","0030-1787","","19330740R"
"Omnia medica et therapeutica","Omnia Med Ther","0030-2260","","0212414"
"Ohio medicine : journal of the Ohio State Medical Association","Ohio Med","0892-2454","","8703563"
"ONA journal","ONA J","0098-4337","","7508036"
"One on one","One One","0270-6628","","8005054"
"Onkologie","Onkologie","0378-584X","1423-0240","7808556"
"Oncology","Oncology","0030-2414","1423-0232","0135054"
"Ophthalmology","Ophthalmology","0161-6420","1549-4713","7802443"
"The Onderstepoort journal of veterinary research","Onderstepoort J Vet Res","0030-2465","2219-0635","0401107"
"OR manager","OR Manager","8756-8047","","8700332"
"Ontario dentist","Ont Dent","0300-5275","","0360775"
"Ontogenez","Ontogenez","0475-1450","","0341527"
"Ophthalmic surgery","Ophthalmic Surg","0022-023X","","0241035"
"Ophthalmic seminars","Ophthalmic Semin","0361-249X","","7607784"
"Ophthalmic research","Ophthalmic Res","0030-3747","1423-0259","0267442"
"Ophthalmologica. Journal international d'ophtalmologie. International journal of ophthalmology. Zeitschrift fur Augenheilkunde","Ophthalmologica","0030-3755","1423-0267","0054655"
"Ganka. Ophthalmology","Ganka","0016-4488","","2984765R"
"Ophthalmic paediatrics and genetics","Ophthalmic Paediatr Genet","0167-6784","","8206832"
"Optometry and vision science : official publication of the American Academy of Optometry","Optom Vis Sci","1040-5488","1538-9235","8904931"
"Optica acta","Opt Acta (Lond)","0030-3909","","0401203"
"OR tech","OR Tech","0275-4622","","7802445"
"Oral health","Oral Health","0030-4204","","7511948"
"Oral hygiene","Oral Hyg","1076-0644","","0135425"
"Oral implantology","Oral Implantol","0048-2064","","0256003"
"Oral sciences reviews","Oral Sci Rev","0300-4759","","0361042"
"Oral surgery, oral medicine, and oral pathology","Oral Surg Oral Med Oral Pathol","0030-4220","","0376406"
"Orange County Dental Society Bulletin","Orange Cty Dent Soc Bull","0471-7406","","9877927"
"Bulletin officiel du Conseil national de l'Ordre","Ordre Natl Chir Dent Cons Natl Bull Off","0755-2378","","19420280R"
"The Oregon nurse","Oreg Nurse","0030-4751","","1276216"
"Oregon state dental journal","Oreg State Dent J","","","0157227"
"Organizational behavior and human performance","Organ Behav Hum Perform","0030-5073","","0312747"
"Origins of life","Orig Life","0302-1688","","0420542"
"Origins of life and evolution of the biosphere : the journal of the International Society for the Study of the Origin of Life","Orig Life Evol Biosph","0169-6149","1573-0875","8610391"
"Orizzonti della ortopedia odierna e della riabilitazione","Orizz Ortop Odie Riabil","0030-5626","","0401023"
"Operations research","Oper Res","0030-364X","1526-5463","19410300R"
"ORL; journal for oto-rhino-laryngology and its related specialties","ORL J Otorhinolaryngol Relat Spec","0301-1569","1423-0275","0334721"
"L' Orthodontie francaise","Orthod Fr","0078-6608","1954-3395","0200547"
"The Orthodontist","Orthodontist","0048-2250","","0375457"
"The Orthopedic clinics of North America","Orthop Clin North Am","0030-5898","1558-1373","0254463"
"Seikeigeka. Orthopedic surgery","Seikei Geka","0030-5901","","0413745"
"QRB. Quality review bulletin","QRB Qual Rev Bull","0097-5990","","7504127"
"Ortodoncia","Ortodoncia","0030-5936","","0376410"
"Ortodontia","Ortodontia","0030-5944","","0270147"
"Ortopedia maxilar","Ortop Maxilar","0473-436X","","8010181"
"Ortopediia travmatologiia i protezirovanie","Ortop Travmatol Protez","0030-5987","","0376411"
"Orvosi hetilap","Orv Hetil","0030-6002","1788-6120","0376412"
"Osaka city medical journal","Osaka City Med J","0030-6096","","0376413"
"Ospedali d'Italia - chirurgia","Osp Ital Chir","0030-6266","","0376414"
"Odontologia Clinica","Odontol Clin","","","9883953"
"L' Ospedale maggiore","Osp Maggiore","0369-7843","","0022210"
"L'Ospedale psichiatrico","Osp Psichiatr","0048-2285","","0312304"
"Oesterreichische Dentisten Zeitschrift","Osterr Dent Z","0029-9006","","0404452"
"Osterreichische Hebammenzeitung","Osterr Hebammenztg","0048-1432","","19320540R"
"Osterreichische Krankenpflegezeitschrift","Osterr Krankenpflegez","0303-4461","","0423177"
"Osterreichische Schwesternzeitung","Osterr Schwesternztg","0029-9480","","0423200"
"Der Orthopade","Orthopade","0085-4530","1433-0431","0331266"
"Osterreichische Zeitschrift fur Erforschung und Bekampfung der Krebskrankheit","Osterr Z Erforsch Bekampf Krebskr","0300-8703","","7513401"
"Osterreichische Zeitschrift fur Stomatologie","Osterr Z Stomatol","0029-9642","","1272426"
"Das Osterreichische Zahntechniker Handwerk","Osterr Zahntech Handwerk","","","9875447"
"Osterreichische Zahnarzts-Zeitung; Mitteilungen der Bundesfachgruppe fur Zahnheilkunde der Osterreichischen Arztekammer","Osterr Zahnarzteztg","0029-9596","","19320630R"
"Otolaryngologic clinics of North America","Otolaryngol Clin North Am","0030-6665","1557-8259","0144042"
"Otolaryngology","Otolaryngology","0161-6439","","7906928"
"Otolaryngologia polska = The Polish otolaryngology","Otolaryngol Pol","0030-6657","2300-8423","0404453"
"Otolaryngology and head and neck surgery","Otolaryngol Head Neck Surg (1979)","","","7909794"
"Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery","Otolaryngol Head Neck Surg","0194-5998","1097-6817","8508176"
"Oncogene","Oncogene","0950-9232","1476-5594","8711562"
"Oncogene research","Oncogene Res","0890-6467","","8801457"
"Jibi inkoka Otolaryngology","Jibiinkoka","0386-9679","","0417444"
"Ophthalmic & physiological optics : the journal of the British College of Ophthalmic Opticians (Optometrists)","Ophthalmic Physiol Opt","0275-5408","1475-1313","8208839"
"L'Oto-rino-laringologia italiana","Otorinolaringol Ital","0030-6630","","0401024"
"ONS news","ONS News","0890-5215","","8906187"
"Osteopathic hospital leadership","Osteopath Hosp Leadersh","8750-9202","","8507547"
"Oto-rino-laringologie","Otorinolaringologie","0030-6649","","7506370"
"Outlook and bulletin. Southern Dental Society of New Jersey","Outlook Bull South Dent Soc N J","0049-1594","","20920510R"
"Oxford reviews of reproductive biology","Oxf Rev Reprod Biol","0260-0854","","8005460"
"Pennsylvania dental journal","Pa Dent J (Harrisb)","0031-4439","","0404456"
"Pennsylvania medicine","Pa Med","0031-4595","","0045606"
"The Pennsylvania nurse","Pa Nurse","0031-4617","","19540010R"
"Pacific medicine and surgery","Pac Med Surg","","","0232664"
"Padiatrie und Grenzgebiete","Padiatr Grenzgeb","0030-932X","","0401115"
"Paediatrica Indonesiana","Paediatr Indones","0030-9311","","0376416"
"Paediatrician","Paediatrician","","","0352330"
"Padiatrie und Padologie","Padiatr Padol","0030-9338","1613-7558","0022370"
"Padiatrie und Padologie. Supplementum","Padiatr Padol Suppl","0300-9556","","0334010"
"Paediatria Universitatis Tokyo","Paediatr Univ Tokyo","0030-9303","","0243721"
"Pahlavi medical journal","Pahlavi Med J","0030-9427","","1251605"
"Pain","Pain","0304-3959","1872-6623","7508686"
"Pain. Supplement","Pain Suppl","0167-6482","","8109110"
"Ophtalmologie : organe de la Societe francaise d'ophtalmologie","Ophtalmologie","0989-3105","","8900549"
"The Pakistan dental review","Pak Dent Rev","0030-9710","","0401117"
"Odontologia de postgrado","Odontol Postgrado","0797-0234","","8813591"
"The Pakistan nursing and health review","Pak Nurs Health Rev","","","19510520R"
"Panminerva medica","Panminerva Med","0031-0808","1827-1898","0421110"
"Paraplegia","Paraplegia","0031-1758","","2985038R"
"Parasite immunology","Parasite Immunol","0141-9838","1365-3024","7910948"
"Parasitology","Parasitology","0031-1820","1469-8161","0401121"
"Parassitologia","Parassitologia","0048-2951","","0413724"
"Parodontologia e stomatologia (nuova) : organo ufficiale dell'ARPA italiana, della Societa italiana Jonoforesi stomatologica e della Accademia ligustica di stomatologia","Parodontol Stomatol (Nuova)","0301-1429","","8703825"
"Oral microbiology and immunology","Oral Microbiol Immunol","0902-0055","1399-302X","8707451"
"Parazitologiia","Parazitologiia","0031-1847","","0101672"
"Parking","Parking","0031-2193","","9892142"
"Parodontologie and academy review","Parodontol Acad Rev","0369-8092","","0104661"
"Parodontologie","Parodontologie (1969)","0031-2339","","0204370"
"ORNL-NSIC [reports]. U.S. Atomic Energy Commission","ORNL-NSIC Rep","","","0201746"
"Orthopedic nursing","Orthop Nurs","0744-6020","1542-538X","8409486"
"Paroi arterielle","Paroi Arterielle","0398-7655","","7606268"
"ORNL-TM [reports]. U.S. Atomic Energy Commission","ORNL-TM Rep","0149-5526","","21830630R"
"Orthopaedic review","Orthop Rev","0094-6591","","0431766"
"Orthodontic review","Orthod Rev","0895-5034","","8904020"
"Pathobiology annual","Pathobiol Annu","0362-3025","","1305471"
"Paramedics international","Paramed Int","0191-6351","","7802924"
"ORNL. U.S. Atomic Energy Commission","ORNL","0735-9861","","7513664"
"Pathology annual","Pathol Annu","0079-0184","","0050610"
"PAS reporter","PAS Rep","0078-7353","","0234403"
"Pathologie-biologie","Pathol Biol (Paris)","0369-8114","1768-3114","0265365"
"Pathologia Europaea","Pathol Eur","0031-2967","","0062702"
"Pathologia et microbiologia","Pathol Microbiol (Basel)","0031-2959","","0401122"
"Pathologia veterinaria","Pathol Vet","0031-2975","","0311355"
"Pathologica","Pathologica","0031-2983","1591-951X","0401123"
"Pathology","Pathology","0031-3025","1465-3931","0175411"
"The New dentist : the official journal of the American Student Dental Association","New Dent","0161-8431","","8109096"
"Patient accounts","Patient Acc","0195-7775","","8203286"
"Patologicheskaia fiziologiia i eksperimental'naia terapiia","Patol Fiziol Eksp Ter","0031-2991","","0376421"
"Patologia polska","Patol Pol","0031-3114","","0404244"
"The Pavlovian journal of biological science","Pavlov J Biol Sci","0093-2213","","0414243"
"Practical dental monographs","Pract Dent Monogr","","","0232533"
"PDM: Physicians' drug manual","PDM","0031-9058","","0217255"
"Acta hospitalia","Acta Hosp","0044-6009","","0401031"
"Pediatriia akusherstvo i ginekologiia","Pediatr Akus Ginekol","0031-4048","","2985041R"
"Pediatric annals","Pediatr Ann","0090-4481","1938-2359","0356657"
"Pediatric clinics of North America","Pediatr Clin North Am","0031-3955","1557-8240","0401126"
"Pediatric nursing","Pediatr Nurs","0097-9805","","7505804"
"Pediatria panamericana","Pediatr Panam (1972)","0325-1462","","7511521"
"Pediatria polska","Pediatr Pol","0031-3939","","2985039R"
"Pediatria pratica","Pediatr Prat","0031-3947","","0401125"
"Pediatric pharmacology (New York, N.Y.)","Pediatr Pharmacol (New York)","0270-322X","","8400778"
"Pediatric pulmonology","Pediatr Pulmonol","8755-6863","1099-0496","8510590"
"Pediatric radiology","Pediatr Radiol","0301-0449","1432-1998","0365332"
"Pediatric research","Pediatr Res","0031-3998","1530-0447","0100714"
"Pediatria","Pediatria (Bucur)","0031-3904","","7502431"
"La Pediatria","Pediatria (Napoli)","0031-3890","","0401207"
"Pediatria","Pediatria (Santiago)","0375-9563","","0420103"
"The Pediatric infectious disease journal","Pediatr Infect Dis J","0891-3668","1532-0987","8701858"
"Pediatrics","Pediatrics","0031-4005","1098-4275","0376422"
"Acta medica Hungarica","Acta Med Hung","0236-5286","","8400269"
"Pediatrie","Pediatrie","0031-4021","","0401127"
"Pediatriia","Pediatriia","0031-403X","1990-2182","0405563"
"Pedodontie Francaise","Pedod Fr","0996-3278","","9875620"
"Pelican news","Pelican News","0031-4161","","19530550R"
"The Penn dental journal","Penn Dent J (Phila)","0031-4331","","0417461"
"Perceptual and motor skills","Percept Mot Skills","0031-5125","1558-688X","0401131"
"Perception","Perception","0301-0066","1468-4233","0372307"
"Periodontal abstracts","Periodontal Abstr","1069-1502","","0113632"
"Perception & psychophysics","Percept Psychophys","0031-5117","1532-5962","0200445"
"Periodontics","Periodontics","0553-6685","","0173712"
"Perspectivas","Perspectivas","0379-8208","","7708436"
"Perspectives on medicaid management","Perspect Medicaid Manage","","","9878669"
"Perspectives on Medicaid and Medicare management","Perspect Medicaid Medicare Manage","0273-0413","","8001253"
"Perspectives in biology and medicine","Perspect Biol Med","0031-5982","1529-8795","0401132"
"Perspectives in nephrology and hypertension","Perspect Nephrol Hypertens","0092-2900","","0402144"
"Perspectives in pediatric pathology","Perspect Pediatr Pathol","0091-2921","","0366560"
"Perspectives in psychiatric care","Perspect Psychiatr Care","0031-5990","1744-6163","0401133"
"Pesticides monitoring journal","Pestic Monit J","0031-6156","","0110540"
"Pharmaceutisch weekblad. Scientific edition","Pharm Weekbl Sci","0167-6555","2214-7268","7907992"
"Pflugers Archiv : European journal of physiology","Pflugers Arch","0031-6768","1432-2013","0154720"
"The Physiology teacher","Physiol Teach","0048-4075","","0361045"
"Prosthetics and orthotics international","Prosthet Orthot Int","0309-3646","1746-1553","7707720"
"Pflugers Archiv fur die gesamte Physiologie des Menschen und der Tiere","Pflugers Arch Gesamte Physiol Menschen Tiere","0365-267X","","0154722"
"Prostaglandins, leukotrienes, and medicine","Prostaglandins Leukot Med","0262-1746","","8206868"
"Prostaglandins, leukotrienes, and essential fatty acids","Prostaglandins Leukot Essent Fatty Acids","0952-3278","1532-2823","8802730"
"Pharmaceutica acta Helvetiae","Pharm Acta Helv","0031-6865","","0401134"
"Pharmazeutische Praxis","Pharm Prax","0048-3656","","0401136"
"Pharmazie in unserer Zeit","Pharm Unserer Zeit","0048-3664","1615-1003","0337763"
"Pharmaceutisch weekblad","Pharm Weekbl","0031-6911","","0401211"
"Pharmatherapeutica","Pharmatherapeutica","0308-051X","","7606274"
"Pharmazeutische Zentralhalle fur Deutschland","Pharm Zentralhalle Dtschl","","","0320011"
"Pharmacology, biochemistry, and behavior","Pharmacol Biochem Behav","0091-3057","1873-5177","0367050"
"Pharmacology for physicians","Pharmacol Physicians","0097-0115","","1247035"
"Pharmacological research communications","Pharmacol Res Commun","0031-6989","1879-2936","0236354"
"Pharmacological reviews","Pharmacol Rev","0031-6997","1521-0081","0421737"
"Pharmacology & therapeutics. Part B: General & systematic pharmacology","Pharmacol Ther B","0306-039X","","7508692"
"Pharmacology and therapeutics in dentistry","Pharmacol Ther Dent","0001-4389","","1252372"
"Pharmacology","Pharmacology","0031-7012","1423-0313","0152016"
"Pharmacology & therapeutics","Pharmacol Ther","0163-7258","1879-016X","7905840"
"Pharmakopsychiatrie, Neuro-Psychopharmakologie","Pharmakopsychiatr Neuropsychopharmakol","0031-7098","","0146540"
"Pharmakotherapia","Pharmakotherapia","0553-9439","","0022452"
"Pharmacopsychiatria","Pharmacopsychiatria","0720-4280","","8103699"
"The Pharos of Alpha Omega Alpha-Honor Medical Society. Alpha Omega Alpha","Pharos Alpha Omega Alpha Honor Med Soc","0031-7179","","19610620R"
"Pharmacopsychiatry","Pharmacopsychiatry","0176-3679","1439-0795","8402938"
"Die Pharmazie","Pharmazie","0031-7144","","9800766"
"The Philippine journal of nursing","Philipp J Nurs","0048-3818","","19620310R"
"Philippine journal of surgery and surgical specialties","Philipp J Surg Surg Spec","0370-0267","","0200355"
"Phlebologie","Phlebologie","0031-8280","","0376212"
"Phonetica","Phonetica","0031-8388","1423-0321","0376424"
"Physician assistant","Physician Assist (1976)","0147-3999","","7703992"
"Photochemistry and photobiology","Photochem Photobiol","0031-8655","1751-1097","0376425"
"Photophysiology","Photophysiology","0090-6999","","0317543"
"Physics in medicine and biology","Phys Med Biol","0031-9155","1361-6560","0401220"
"Physician assistant (American Academy of Physician Assistants)","Physician Assist","8750-7544","","8403486"
"Physical therapy","Phys Ther","0031-9023","1538-6724","0022623"
"Physiology & behavior","Physiol Behav","0031-9384","1873-507X","0151504"
"Physiologia Bohemoslovaca","Physiol Bohemoslov","0369-9463","","0175317"
"Physician's management","Physicians Manage","0031-9066","","19630040R"
"Physiological chemistry and physics","Physiol Chem Phys","0031-9325","","0202364"
"Physiological chemistry and physics and medical NMR","Physiol Chem Phys Med NMR","0748-6642","","8502230"
"Physiology & pharmacology for physicians","Physiol Pharmacol Physicians","0554-1417","","0045406"
"Pharmacy management combined with the American journal of pharmacy : PM","Pharm Manage Comb Am J Pharm","0163-464X","","7902571"
"Physiological reviews","Physiol Rev","0031-9333","1522-1210","0231714"
"Physiologie (Bucarest)","Physiologie","1011-6206","","7510964"
"The Physiologist","Physiologist","0031-9376","","0401143"
"Physiotherapy","Physiotherapy","0031-9406","1873-1465","0401223"
"Phytopathology","Phytopathology","0031-949X","1943-7684","9427222"
"Pielegniarka i polozna","Pieleg Polozna","0048-4148","","19630310R"
"Plastic surgical nursing : official journal of the American Society of Plastic and Reconstructive Surgical Nurses","Plast Surg Nurs","0741-5206","1550-1841","8403490"
"Plasmid","Plasmid","0147-619X","1095-9890","7802221"
