AADE editors' journal	Aade Ed. J.	AADE Ed J
Kidney international. Supplement	Kidney Int. Suppl.	Kidney Int Suppl
Kinderarztliche Praxis	Kinderarztl. Prax.	Kinderarztl Prax
The King Faisal Specialist Hospital medical journal	King Faisal Spec. Hosp. Med. J.	King Faisal Spec Hosp Med J
The Kitasato archives of experimental medicine	Kitasato Arch. Exp. Med.	Kitasato Arch Exp Med
Klinichna khirurhiia	Klin. Khir.	Klin Khir
Klinicheskaia meditsina	Klin. Med. Mosk.	Klin Med (Mosk)
Klinische Medizin; osterreichische Zeitschrift fur wissenschaftliche und praktische Medizin	Klin. Med. Osterr. Z. Wiss. Prakt. Med.	Klin Med Osterr Z Wiss Prakt Med
Klinische Monatsblatter fur Augenheilkunde	Klin. Monbl. Augenheilkd.	Klin Monbl Augenheilkd
Klinika oczna	Klin. Oczna	Klin Oczna
Klinische Anasthesiologie und Intensivtherapie	Klin. Anasthesiol. Intensivther.	Klin Anasthesiol Intensivther
Klinische Padiatrie	Klin. Padiatr.	Klin Padiatr
Klinische Wochenschrift	Klin. Wochenschr.	Klin Wochenschr
The Kobe journal of medical sciences	Kobe J. Med. Sci.	Kobe J Med Sci
Krankenpflege. Soins infirmiers	Krankenpfl. Soins Infirm.	Krankenpfl Soins Infirm
Taehan kanho. The Korean nurse	Taehan Kanho	Taehan Kanho
Kosmicheskaia biologiia i aviakosmicheskaia meditsina	Kosm. Biol. Aviakosm. Med.	Kosm Biol Aviakosm Med
Kosmicheskaia biologiia i meditsina	Kosm. Biol. Med.	Kosm Biol Med
The Kurume medical journal	Kurume Med. J.	Kurume Med J
Krankenpflege (Frankfurt am Main, Germany)	Krankenpflege Frankf.	Krankenpflege (Frankf)
Die Krankenschwester	Krankenschwester	Krankenschwester
Der Krebsarzt	Krebsarzt	Krebsarzt
Krebsforschung und Krebsbekampfung	Krebsforsch. Krebsbekampf.	Krebsforsch Krebsbekampf
The Kumamoto medical journal	Kumamoto Med. J.	Kumamoto Med J
Journal of inherited metabolic disease	J. Inherit. Metab. Dis.	J Inherit Metab Dis
Newsletter. Kentucky Nurses Association	Newsl. Ky. Nurses Assoc.	Newsl Ky Nurses Assoc
Kybernetik	Kybernetik	Kybernetik
Krankenpflege Journal	Krankenpfl. J.	Krankenpfl J
KY [reports]. U.S. Atomic Energy Commission	Ky Rep.	KY Rep
Kyushu journal of medical science	Kyushu J. Med. Sci.	Kyushu J Med Sci
Laboratory animals	Lab. Anim.	Lab Anim
Laboratory animal science	Lab. Anim. Sci.	Lab Anim Sci
Laboratornoe delo	Lab. Delo	Lab Delo
Labor law journal	Labor Law J.	Labor Law J
Laboratory investigation; a journal of technical methods and pathology	Lab. Invest.	Lab Invest
Law and contemporary problems	Law Contemp. Probl.	Law Contemp Probl
Leprosy in India	Lepr. India	Lepr India
Laboratory practice	Lab. Pract.	Lab Pract
""Laboratorio;"" analisis clinicos, bacteriologia, inmunologia, parasitologia, hematologia, anatomia patologica, quimica clinica	Laboratorio	Laboratorio
Lahey Clinic Foundation bulletin	Lahey Clin. Found. Bull.	Lahey Clin Found Bull
Lakartidningen	Lakartidningen	Lakartidningen
The Lamp	Lamp	Lamp
Lancet (London, England)	Lancet	Lancet
Der Landarzt	Landarzt	Landarzt
Language and speech	Lang. Speech	Lang Speech
Langenbecks Archiv fur Chirurgie	Langenbecks Arch. Chir.	Langenbecks Arch Chir
LARC medical	Larc Med.	LARC Med
Laryngologie, Rhinologie, Otologie	Laryngol. Rhinol. Otol. Stuttg.	Laryngol Rhinol Otol (Stuttg)
The Laryngoscope	Laryngoscope	Laryngoscope
Lasers in surgery and medicine	Lasers Surg. Med.	Lasers Surg Med
Lavori dell'Istituto di anatomia e istologia patologica, Universita degli studi di Perugia	Lav. Ist. Anat. Istol. Patol. Univ. Studi Perugia	Lav Ist Anat Istol Patol Univ Studi Perugia
Lavoro umano	Lav. Um.	Lav Um
Laboratory and research methods in biology and medicine	Lab. Res. Methods Biol. Med.	Lab Res Methods Biol Med
Laval medical	Laval Med.	Laval Med
League exchange	League Exch.	League Exch
League lines	League Lines	League Lines
Legal medical quarterly	Leg. Med. Q.	Leg Med Q
Lebensversicherungs Medizin	Lebensversicher. Med.	Lebensversicher Med
Leber, Magen, Darm	Leber Magen Darm	Leber Magen Darm
Legal medicine	Leg. Med.	Leg Med
Leeds Dental Journal	Leeds Dent. J.	Leeds Dent J
Legal medicine annual	Leg. Med. Annu.	Leg Med Annu
Legal aspects of medical practice	Leg. Aspects Med. Pract.	Leg Aspects Med Pract
Lekarska veda v zahranici	Lek. Veda Zahr.	Lek Veda Zahr
Laundry news	Laund. News	Laund News
Leprosy review	Lepr. Rev.	Lepr Rev
Repura. Leprosy	Repura	Repura
Life sciences	Life Sci.	Life Sci
Life sciences. Pt. 1: Physiology and pharmacology	Life Sci. I.	Life Sci I
Life sciences. Pt. 2: Biochemistry, general and molecular biology	Life Sci. Ii.	Life Sci II
Life-threatening behavior	Life Threat. Behav.	Life Threat Behav
Ligament	Ligament	Ligament
Lijecnicki vjesnik	Lijec. Vjesn.	Lijec Vjesn
Linen supply news	Linen Supply News	Linen Supply News
Lille chirurgical	Lille Chir.	Lille Chir
Lille medical : journal de la Faculte de medecine et de pharmacie de l'Universite de Lille	Lille Med.	Lille Med
Lipids	Lipids	Lipids
Liver	Liver	Liver
Lloydia	Lloydia	Lloydia
Prace. Lodzkie Towarzystwo Naukowe. Wydzial IV, Nauk Lekarskich	Pr. Lodz. Tow. Nauk Iv	Pr Lodz Tow Nauk IV
Loma Linda University Dentist Magazine	Loma Linda Univ. Dent. Mag.	Loma Linda Univ Dent Mag
Long range planning	Long Range Plann.	Long Range Plann
London Clinic medical journal	Lond. Clin. Med. J.	Lond Clin Med J
Lotta contro la tubercolosi	Lotta Tuberc.	Lotta Tuberc
La Lutte contre le cancer	Lutte Cancer	Lutte Cancer
Lymphokine research	Lymphokine Res.	Lymphokine Res
Lung	Lung	Lung
Lymphology	Lymphology	Lymphology
Long-term care quarterly	Long Term Care Q.	Long Term Care Q
Lyon chirurgical	Lyon Chir.	Lyon Chir
Kango tenbo. The Japanese journal of nursing science	Kango Tenbo	Kango Tenbo
Kurinikaru sutadi = Clinical study	Kurinikaru Sutadi	Kurinikaru Sutadi
Law, medicine & health care : a publication of the American Society of Law & Medicine	Law Med. Health Care	Law Med Health Care
Lyon medical	Lyon Med.	Lyon Med
Lampada	Lampada	Lampada
LDA journal	Lda J.	LDA J
Literature and medicine	Lit. Med.	Lit Med
Life support systems : the journal of the European Society for Artificial Organs	Life Support Syst.	Life Support Syst
Long term care and health services administration quarterly	Long Term Care Health Serv. Adm. Q.	Long Term Care Health Serv Adm Q
Maandschrift voor kindergeneeskunde	Maandschr. Kindergeneeskd.	Maandschr Kindergeneeskd
Macromolecules	Macromolecules	Macromolecules
Magnesium	Magnesium	Magnesium
Magyar traumatologia, orthopaedia es helyreallito sebeszet	Magy. Traumatol. Orthop. Helyreallito Seb.	Magy Traumatol Orthop Helyreallito Seb
Leukemia	Leukemia	Leukemia
Maine nurse	Maine Nurse	Maine Nurse
Major problems in clinical pediatrics	Major Probl. Clin. Pediatr.	Major Probl Clin Pediatr
Major problems in clinical surgery	Major Probl. Clin. Surg.	Major Probl Clin Surg
Major problems in internal medicine	Major Probl. Intern. Med.	Major Probl Intern Med
Major problems in obstetrics and gynecology	Major Probl. Obstet. Gynecol.	Major Probl Obstet Gynecol
Major problems in pathology	Major Probl. Pathol.	Major Probl Pathol
The Malaysian journal of pathology	Malays. J. Pathol.	Malays J Pathol
Malattie cardiovascolari	Mal. Cardiovasc.	Mal Cardiovasc
Malacologia	Malacologia	Malacologia
Malaysian dental journal	Malays. Dent. J.	Malays Dent J
Man and medicine	Man Med.	Man Med
The male nurses' journal	Male Nurses J.	Male Nurses J
The Manchester medical gazette	Manch. Med. Gaz.	Manch Med Gaz
The Log	Log	Log
Management review	Manage. Rev.	Manage Rev
Maanedsskrift for praktisk laegegerning og social Medicin	Manedsskr. Prakt. Laegegern.	Manedsskr Prakt Laegegern
Manitoba medical review	Manit. Med. Rev.	Manit Med Rev
Maroc medical	Maroc Med.	Maroc Med
al-Maghrib al-tibbi. Maroc medical	Maghrib Tibbi	Maghrib Tibbi
Marseille chirurgical	Mars. Chir.	Mars Chir
Marseille medical	Mars. Med.	Mars Med
Materia medica Polona. Polish journal of medicine and pharmacy	Mater. Med. Pol.	Mater Med Pol
Maternal-child nursing journal	Matern. Child Nurs. J.	Matern Child Nurs J
Maternidade e infancia; arquivos medicos-sociais	Matern. Infanc. Sao. Paulo.	Matern Infanc (Sao Paulo)
Maternite; revue pratique d'obstetrique et de puericulture	Maternite	Maternite
The Mayan	Mayan	Mayan
Mayo Clinic proceedings	Mayo Clin. Proc.	Mayo Clin Proc
The McGill dental review	Mcgill Dent. Rev.	Mcgill Dent Rev
The Maryland nurse	Md. Nurse	Md Nurse
Maryland state medical journal	Md. State Med. J.	Md State Med J
Mead Johnson Symposium on Perinatal and Developmental Medicine	Mead Johnson Symp. Perinat. Dev. Med.	Mead Johnson Symp Perinat Dev Med
Mechanisms of ageing and development	Mech. Ageing Dev.	Mech Ageing Dev
Medical affairs	Med. Aff.	Med Aff
Dental lab management today	Dent. Lab Manage. Today	Dent Lab Manage Today
The Medical annals of the District of Columbia	Med. Ann. Dist. Columbia	Med Ann Dist Columbia
Medicinski arhiv	Med. Arh.	Med Arh
Medical art	Med. Art	Med Art
Medical care review	Med. Care Rev.	Med Care Rev
Medical arts and sciences	Med. Arts Sci.	Med Arts Sci
Medical aspects of human sexuality	Med. Aspects Hum. Sex.	Med Aspects Hum Sex
Medecine et audio vision	Med. Audio Vis.	Med Audio Vis
Long term care (Don Mills, Ont.)	Long Term Care Don Mills	Long Term Care (Don Mills)
Medical biology	Med. Biol.	Med Biol
Igaku to seibutsugaku. Medicine and biology	Igaku To Seibutsugaku	Igaku To Seibutsugaku
Medical & biological engineering	Med. Biol. Eng.	Med Biol Eng
Medical & biological engineering & computing	Med. Biol. Eng. Comput.	Med Biol Eng Comput
Medical & biological illustration	Med. Biol. Illus.	Med Biol Illus
Medical bulletin. United States. Veterans Administration. Department of Medicine and Surgery	Med. Bull. Vet. Adm.	Med Bull Vet Adm
Medical care	Med. Care	Med Care
Medical oncology and tumor pharmacotherapy	Med. Oncol. Tumor Pharmacother.	Med Oncol Tumor Pharmacother
Medecine & chirurgie digestives	Med. Chir. Dig.	Med Chir Dig
Medicina y cirugia de guerra	Med. Cir. Guerra	Med Cir Guerra
Medicina clinica	Med. Clin. Barc.	Med Clin (Barc)
The Medical clinics of North America	Med. Clin. North Am.	Med Clin North Am
Medical informatics = Medecine et informatique	Med. Inform. Lond.	Med Inform (Lond)
Medicina clinica e sperimentale	Med. Clin. Sper.	Med Clin Sper
Medicina contemporanea (Lisbon, Portugal)	Med. Contemp.	Med Contemp
Medicina cutanea ibero-latino-americana	Med. Cutan. Ibero Lat. Am.	Med Cutan Ibero Lat Am
Medycyna doswiadczalna	Med. Dosw.	Med Dosw
Medycyna doswiadczalna i mikrobiologia	Med. Dosw. Mikrobiol.	Med Dosw Mikrobiol
Medical electronics & biological engineering	Med. Electron. Biol. Eng.	Med Electron Biol Eng
Medicina espanola	Med. Esp.	Med Esp
Medicina experimentalis : International journal of experimental medicine	Med. Exp. Int. J. Exp. Med.	Med Exp Int J Exp Med
Medicinal research reviews	Med. Res. Rev.	Med Res Rev
Metabolic and pediatric ophthalmology	Metab. Pediatr. Ophthalmol.	Metab Pediatr Ophthalmol
Medicina fisica y rehabilitacion	Med. Fis. Rehabil.	Med Fis Rehabil
Medicinski glasnik	Med. Glas.	Med Glas
Medical/dental journal	Med. Dent. J.	Med Dent J
Methods and findings in experimental and clinical pharmacology	Methods Find. Exp. Clin. Pharmacol.	Methods Find Exp Clin Pharmacol
Medical history. Supplement	Med. Hist. Suppl.	Med Hist Suppl
Medical history	Med. Hist.	Med Hist
Medecine et hygiene	Med. Hyg. Geneve.	Med Hyg (Geneve)
Medical hypotheses	Med. Hypotheses	Med Hypotheses
La Medecine infantile	Med. Infant. Paris.	Med Infant (Paris)
Medical instrumentation	Med. Instrum.	Med Instrum
Medicina interna	Med. Interna Bucur.	Med Interna (Bucur)
The Medical journal of Australia	Med. J. Aust.	Med J Aust
Kobe Daigaku Igakubu kiyo. Medical journal of Kobe University	Kobe Daigaku Igakubu Kiyo	Kobe Daigaku Igakubu Kiyo
The Medical journal of Malaysia	Med. J. Malaysia	Med J Malaysia
Medical journal of Osaka University	Med. J. Osaka Univ.	Med J Osaka Univ
Medizin und Gesellschaft	Med. Ges.	Med Ges
Medizinische Klinik (Klinik-Ausg.)	Med. Klin. Klin.	Med Klin Klin
Medizinische Klinik (Praxis-Ausg.)	Med. Klin. Prax.	Med Klin Prax
Das Medizinische Laboratorium	Med. Lab. Stuttg.	Med Lab (Stuttg)
Medical laboratory technology	Med. Lab. Technol.	Med Lab Technol
La Medicina del lavoro	Med. Lav.	Med Lav
Medico-legal bulletin	Med. Leg. Bull.	Med Leg Bull
Medecine legale et dommage corporel	Med. Leg. Dommage Corpor.	Med Leg Dommage Corpor
The Medico-legal journal	Med. Leg. J.	Med Leg J
The Medical letter on drugs and therapeutics	Med. Lett. Drugs Ther.	Med Lett Drugs Ther
The Medical malpractice cost containment journal	Med. Malpract. Cost Containment J.	Med Malpract Cost Containment J
Matrix (Stuttgart, Germany)	Matrix	Matrix
Medical microbiology and immunology	Med. Microbiol. Immunol.	Med Microbiol Immunol
Medical newsletter	Med. Newsl. Lond.	Med Newsl (Lond)
Medizinische Monatsschrift	Med. Monatsschr.	Med Monatsschr
Medizinische Monatsschrift fur Pharmazeuten	Med. Monatsschr. Pharm.	Med Monatsschr Pharm
Medicina panamericana	Med. Panam.	Med Panam
Medicine and war	Med. War	Med War
Medical and pediatric oncology	Med. Pediatr. Oncol.	Med Pediatr Oncol
Medical and pediatric oncology. Supplement	Med. Pediatr. Oncol. Suppl.	Med Pediatr Oncol Suppl
Meditsinskaia parazitologiia i parazitarnye bolezni	Med. Parazitol. Mosk.	Med Parazitol (Mosk)
Medicina et pharmacologia experimentalis. International journal of experimental medicine	Med. Pharmacol. Exp. Int. J. Exp. Med.	Med Pharmacol Exp Int J Exp Med
Medical physics	Med. Phys.	Med Phys
Medicinski pregled	Med. Pregl.	Med Pregl
Medical progress through technology	Med. Prog. Technol.	Med Prog Technol
McGraw-Hill's medicine & health	Mcgraw Hills. Med. Health	Mcgraw Hills Med Health
Medizinische Klinik (Munich, Germany : 1983)	Med. Klin. Munich	Med Klin (Munich)
Metabolic brain disease	Metab. Brain Dis.	Metab Brain Dis
Microbiological reviews	Microbiol. Rev.	Microbiol Rev
Microcirculation, endothelium, and lymphatics	Microcirc. Endothelium Lymphatics	Microcirc Endothelium Lymphatics
Middle East journal of anaesthesiology	Middle East J. Anaesthesiol.	Middle East J Anaesthesiol
The Milbank quarterly	Milbank Q.	Milbank Q
Minerva ecologica idroclimatologica e fisiconucleare	Minerva Ecol. Idroclimatol. Fisiconucl.	Minerva Ecol Idroclimatol Fisiconucl
Minerva ecologica idroclimatologica fisicosanitaria	Minerva Ecol. Idroclimatol. Fis. Sanit.	Minerva Ecol Idroclimatol Fis Sanit
Mineral and electrolyte metabolism	Miner. Electrolyte Metab.	Miner Electrolyte Metab
MCN. The American journal of maternal child nursing	Mcn Am. J. Matern. Child Nurs.	MCN Am J Matern Child Nurs
MD medical newsmagazine	Md	MD
Medical laboratory sciences	Med. Lab. Sci.	Med Lab Sci
Meditsinskaia promyshlennost' SSSR	Med. Prom. Sssr	Med Prom SSSR
Medical group management	Med. Group Manage.	Med Group Manage
Medical decision making : an international journal of the Society for Medical Decision Making	Med. Decis. Making	Med Decis Making
Monographs of the American Association on Mental Retardation	Monogr. Am. Assoc. Ment. Retard.	Monogr Am Assoc Ment Retard
Magnetic resonance imaging	Magn. Reson. Imaging	Magn Reson Imaging
Medicine and law	Med. Law	Med Law
Molecular aspects of medicine	Mol. Aspects Med.	Mol Aspects Med
Maryland medical journal (Baltimore, Md. : 1985)	Md Med. J.	Md Med J
Ma zui xue za zhi = Anaesthesiologica Sinica	Ma Zui Xue Za Zhi	Ma Zui Xue Za Zhi
Medical anthropology	Med. Anthropol.	Med Anthropol
Medical radiography and photography	Med. Radiogr. Photogr.	Med Radiogr Photogr
Medical electronics	Med. Electron.	Med Electron
Medical record news	Med. Rec. News	Med Rec News
McGraw-Hill's Washington report on medicine & health	Mcgraw Hills. Wash. Rep. Med. Health	Mcgraw Hills Wash Rep Med Health
Meditsinskaia radiologiia	Med. Radiol. Mosk.	Med Radiol (Mosk)
Medical economics	Med. Econ.	Med Econ
Brain research. Molecular brain research	Brain Res. Mol. Brain Res.	Brain Res Mol Brain Res
The Massachusetts nurse	Mass. Nurse	Mass Nurse
Medical Research Council memorandum	Memo. Med. Res. Counc.	Memo Med Res Counc
Special report series (Medical Research Council (Great Britain))	Spec. Rep. Ser. Med. Res. Counc. G. B.	Spec Rep Ser Med Res Counc (G B)
Medical research engineering	Med. Res. Eng.	Med Res Eng
M.D. computing : computers in medical practice	Md. Comput.	MD Comput
Modern dental practice	Mod. Dent. Pract.	Mod Dent Pract
Meikai Daigaku shigaku zasshi = The Journal of Meikai University School of Dentistry	Meikai Daigaku Shigaku Zasshi	Meikai Daigaku Shigaku Zasshi
Medical toxicology	Med. Toxicol.	Med Toxicol
Monatsschrift deutscher Zahnarzte: der freie Zahnarzt	Monatsschr. Dtsch. Zahnarzte Freie Zahnarzt	Monatsschr Dtsch Zahnarzte Freie Zahnarzt
Middle East dentistry & oral health	Middle East Dent. Oral Health	Middle East Dent Oral Health
Medicina (Florence, Italy)	Medicina Firenze.	Medicina (Firenze)
Medicine, science, and the law	Med. Sci. Law	Med Sci Law
Medical record and health care information journal	Med. Rec. Health Care Inf. J.	Med Rec Health Care Inf J
Metabolic ophthalmology, pediatric and systemic	Metab. Ophthalmol.	Metab Ophthalmol
Supplement ... to the journal Medical oncology and tumor pharmacotherapy	Suppl. J. Med. Oncol. Tumor Pharmacother.	Suppl J Med Oncol Tumor Pharmacother
Medicine and science in sports	Med. Sci. Sports	Med Sci Sports
Medical teacher	Med. Teach.	Med Teach
Medicina nei secoli	Med. Secoli	Med Secoli
Medical service	Med. Serv.	Med Serv
Medical services journal, Canada	Med. Serv. J. Can.	Med Serv J Can
Meditsinskaia sestra	Med. Sestra	Med Sestra
Medicina dello sport; rivista di fisiopatologia dello sport	Med. Sport Roma.	Med Sport (Roma)
Meditsinskaia tekhnika	Med. Tekh.	Med Tekh
Minerva psichiatrica	Minerva Psichiatr.	Minerva Psichiatr
Medicina thoracalis	Med. Thorac.	Med Thorac
Medicine and science in sports and exercise	Med. Sci. Sports Exerc.	Med Sci Sports Exerc
Medical times	Med. Times	Med Times
Medical marketing & media	Med. Mark. Media	Med Mark Media
Medical group management journal	Med. Group Manage. J.	Med Group Manage J
Medical trial technique quarterly	Med. Trial Tech. Q.	Med Trial Tech Q
Medical world news	Med. World News	Med World News
La Medicina tropical	Med. Trop. Madr.	Med Trop (Madr)
Mental health nursing : journal of the Psychiatric Nurses Association	Ment. Health Nurs.	Ment Health Nurs
Medecine tropicale : revue du Corps de sante colonial	Med. Trop. Mars.	Med Trop (Mars)
Magnetic resonance in medicine	Magn. Reson. Med.	Magn Reson Med
Management focus	Manage. Focus	Manage Focus
Microbial pathogenesis	Microb. Pathog.	Microb Pathog
Midwife and health visitor	Midwife Health Visit.	Midwife Health Visit
Die Medizinische Welt	Med. Welt	Med Welt
Management world	Manage. World	Manage World
Microsurgery	Microsurgery	Microsurgery
Monthly labor review	Mon. Labor Rev.	Mon Labor Rev
MLO: medical laboratory observer	Mlo Med. Lab. Obs.	MLO Med Lab Obs
Medicamundi	Medicamundi	Medicamundi
Medicina	Medicina B. Aires.	Medicina (B Aires)
Munchener medizinische Wochenschrift (1950)	Munch. Med. Wochenschr.	Munch Med Wochenschr
Medicina	Medicina Madr.	Medicina (Madr)
Medicina	Medicina Mex.	Medicina (Mex)
Maryland nursing news	Md. Nurs. News	Md Nurs News
Medicine	Medicine Baltimore.	Medicine (Baltimore)
Molecular biology and evolution	Mol. Biol. Evol.	Mol Biol Evol
Medicolegal news	Medicoleg. News	Medicoleg News
Medycyna pracy	Med. Pr.	Med Pr
Molecular biology & medicine	Mol. Biol. Med.	Mol Biol Med
Molecular microbiology	Mol. Microbiol.	Mol Microbiol
Missouri dental journal (Jefferson City, Mo.)	Mo Dent. J.	Mo Dent J
Metabolic, pediatric, and systemic ophthalmology (New York, N.Y. : 1985)	Metab. Pediatr. Syst. Ophthalmol. 1985	Metab Pediatr Syst Ophthalmol (1985)
The Meharri-Dent	Meharri Dent	Meharri Dent
Memoires. Academie de chirurgie (France)	Mem. Acad. Chir. Paris.	Mem Acad Chir (Paris)
Memoires de l'Academie royale de medecine de Belgique	Mem. Acad. R. Med. Belg.	Mem Acad R Med Belg
Memory & cognition	Mem. Cognit.	Mem Cognit
Memorias do Instituto Butantan	Mem. Inst. Butantan	Mem Inst Butantan
Medical reference services quarterly	Med. Ref. Serv. Q.	Med Ref Serv Q
Medizinische Klinik (Munich, Germany : 1983). Supplement	Med. Klin. Suppl.	Med Klin Suppl
Memorias do Instituto Oswaldo Cruz	Mem. Inst. Oswaldo Cruz	Mem Inst Oswaldo Cruz
Membranes	Membranes	Membranes
The Medical staff counselor	Med. Staff Couns.	Med Staff Couns
Mental health and society	Ment. Health Soc.	Ment Health Soc
Mental health statistical note	Ment. Health Stat. Note	Ment Health Stat Note
Mental hospitals	Ment. Hosp.	Ment Hosp
Medical toxicology and adverse drug experience	Med. Toxicol. Adverse Drug Exp.	Med Toxicol Adverse Drug Exp
Mental hygiene	Ment. Hyg.	Ment Hyg
Mental retardation	Ment. Retard.	Ment Retard
Mental retardation abstracts	Ment. Retard. Abstr.	Ment Retard Abstr
Mentalis	Mentalis	Mentalis
Mercer Dental Society Newsletter	Mercer Dent. Soc. Newsl.	Mercer Dent Soc Newsl
Metabolic bone disease & related research	Metab. Bone Dis. Relat. Res.	Metab Bone Dis Relat Res
Metabolic, pediatric, and systemic ophthalmology	Metab. Pediatr. Syst. Ophthalmol.	Metab Pediatr Syst Ophthalmol
Mutagenesis	Mutagenesis	Mutagenesis
Metabolism: clinical and experimental	Metabolism	Metabolism
Methods and achievements in experimental pathology	Methods Achiev. Exp. Pathol.	Methods Achiev Exp Pathol
Methods of biochemical analysis	Methods Biochem. Anal.	Methods Biochem Anal
Methods in cell biology	Methods Cell Biol.	Methods Cell Biol
Membrane biochemistry	Membr. Biochem.	Membr Biochem
Methods in enzymology	Methods Enzymol.	Methods Enzymol
Methods of information in medicine	Methods Inf. Med.	Methods Inf Med
Methods of information in medicine. Supplement	Methods Inf. Med. Suppl.	Methods Inf Med Suppl
Methods in medical research	Methods Med. Res.	Methods Med Res
Midwifery	Midwifery	Midwifery
MH	Mh	MH
Microscopia electronica y biologia celular : organo oficial de las Sociedades Latinoamericana de Microscopia Electronica e Iberoamericana de Biologia Celular	Microsc. Electron. Biol. Celular	Microsc Electron Biol Celular
Maturitas	Maturitas	Maturitas
Michigan medicine	Mich. Med.	Mich Med
Michigan law review	Mich. Law Rev.	Mich Law Rev
The Michigan nurse	Mich. Nurse	Mich Nurse
Microbiology and immunology	Microbiol. Immunol.	Microbiol Immunol
Microbiologia espanola	Microbiol. Esp.	Microbiol Esp
Microbiologia, parazitologia, epidemiologia	Microbiol. Parazitol. Epidemiol. Bucur.	Microbiol Parazitol Epidemiol (Bucur)
Microbiologica	Microbiologica	Microbiologica
Microbios	Microbios	Microbios
Microscopica acta	Microsc. Acta	Microsc Acta
Microscopica acta. Supplement	Microsc. Acta Suppl.	Microsc Acta Suppl
Microvascular research	Microvasc. Res.	Microvasc Res
Michigan hospitals	Mich. Hosp.	Mich Hosp
Midwestern dentist	Midwest. Dent.	Midwest Dent
Mikrobiologicheskii zhurnal	Mikrobiol. Zh. 1978.	Mikrobiol Zh (1978)
Midwife, health visitor & community nurse	Midwife Health Visit. Community Nurse	Midwife Health Visit Community Nurse
Midwives chronicle	Midwives Chron.	Midwives Chron
Mie medical journal	Mie Med. J.	Mie Med J
Mikrobiolohichnyi zhurnal	Mikrobiol. Zh.	Mikrobiol Zh
Medical education	Med. Educ.	Med Educ
Mikrobiologiia	Mikrobiologiia	Mikrobiologiia
Mikrobiyoloji bulteni	Mikrobiyol. Bul.	Mikrobiyol Bul
Mikrochimica acta	Mikrochim. Acta	Mikrochim Acta
Mikrochimica et ichnoanalytica acta	Mikrochim. Ichnoanal. Acta	Mikrochim Ichnoanal Acta
Mikroskopie	Mikroskopie	Mikroskopie
NJPC bulletin	Njpc Bull.	NJPC Bull
The Milbank Memorial Fund quarterly	Milbank Mem. Fund Q.	Milbank Mem Fund Q
Neurosurgical review	Neurosurg. Rev.	Neurosurg Rev
The Milbank Memorial Fund quarterly. Health and society	Milbank Mem. Fund Q. Health Soc.	Milbank Mem Fund Q Health Soc
Military medicine	Mil. Med.	Mil Med
Militaerlaegen	Militaerlaegen	Militaerlaegen
Minerva anestesiologica	Minerva Anestesiol.	Minerva Anestesiol
Minerva cardioangiologica	Minerva Cardioangiol.	Minerva Cardioangiol
Minerva chirurgica	Minerva Chir.	Minerva Chir
Minerva dermatologica	Minerva Dermatol.	Minerva Dermatol
Minerva dietologica e gastroenterologica	Minerva Dietol. Gastroenterol.	Minerva Dietol Gastroenterol
Minerva fisiconucleare	Minerva Fisiconucl.	Minerva Fisiconucl
Minerva ginecologica	Minerva Ginecol.	Minerva Ginecol
The Netherlands journal of surgery	Neth. J. Surg.	Neth J Surg
New directions for child development	New Dir. Child Dev.	New Dir Child Dev
Minerva medica	Minerva Med.	Minerva Med
Minerva medicolegale; archivio di antropologia criminale, psichiatria, e medicina legale	Minerva Medicoleg.	Minerva Medicoleg
Nursing & health care : official publication of the National League for Nursing	Nurs. Health Care	Nurs Health Care
NIPH annals	Niph Ann.	NIPH Ann
NITA	Nita	NITA
NACDL journal	Nacdl J.	NACDL J
Minerva nefrologica	Minerva Nefrol.	Minerva Nefrol
Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association	Nephrol. Dial. Transplant	Nephrol Dial Transplant
Neuroscience letters	Neurosci. Lett.	Neurosci Lett
Minerva neurochirurgica	Minerva Neurochir.	Minerva Neurochir
Neuroscience letters. Supplement	Neurosci. Lett. Suppl.	Neurosci Lett Suppl
Minerva nipiologica	Minerva Nipiol.	Minerva Nipiol
Minerva nucleare	Minerva Nucl.	Minerva Nucl
Minerva oftalmologica	Minerva Oftalmol.	Minerva Oftalmol
Minerva ortopedica	Minerva Ortop.	Minerva Ortop
New Jersey medicine : the journal of the Medical Society of New Jersey	N. J. Med.	N J Med
Nueva enfermeria	Nueva Enferm.	Nueva Enferm
Natural product reports	Nat. Prod. Rep.	Nat Prod Rep
Minerva otorinolaringologica	Minerva Otorinolaringol.	Minerva Otorinolaringol
Minerva pediatrica	Minerva Pediatr.	Minerva Pediatr
Minerva endocrinologica	Minerva Endocrinol.	Minerva Endocrinol
Minerva radiologica	Minerva Radiol.	Minerva Radiol
Neurotoxicology and teratology	Neurotoxicol. Teratol.	Neurotoxicol Teratol
Minerva stomatologica	Minerva Stomatol.	Minerva Stomatol
Minerva urologica	Minerva Urol.	Minerva Urol
Minnesota medicine	Minn. Med.	Minn Med
Minnesota nursing accent	Minn. Nurs. Accent	Minn Nurs Accent
Middle East health	Middle East Health	Middle East Health
The Minneapolis district dental journal	Minneap. Dist. Dent. J.	Minneap Dist Dent J
Nursing homes and senior citizen care	Nurs. Homes Sr. Citiz. Care	Nurs Homes Sr Citiz Care
